Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
119,Raytheon,"$25,348.00",5.3%,"$2,024.00",-8.5%,"$30,860.00","$62,265.40",-3,"64,000",-3,2018,0,0
120,Macy's,"$24,837.00",-3.7%,"$1,547.00",149.9%,"$19,381.00","$9,064.80",-10,"130,000",-10,2018,0,0
121,US Foods Holding,"$24,147.20",5.4%,$444.3,111.8%,"$9,037.20","$7,065.30",3,"25,204",3,2018,0,0
122,U.S. Bancorp,"$23,996.00",5.5%,"$6,218.00",5.6%,"$462,040.00","$83,367.00",3,"72,402",3,2018,0,0
123,Dollar General,"$23,471.00",6.8%,"$1,539.00",23%,"$12,516.90","$25,140.80",5,"129,000",5,2018,0,0
124,International Paper,"$23,302.00",10.5%,"$2,144.00",137.2%,"$33,903.00","$22,063.40",9,"56,000",9,2018,0,0
125,Duke Energy,"$23,189.00",-0.8%,"$3,059.00",42.1%,"$137,914.00","$54,275.90",-4,"29,060",-4,2018,1,0
126,Southern,"$23,031.00",15.8%,$842,-65.6%,"$111,005.00","$45,024.40",19,"31,344",19,2018,0,0
127,Marriott International,"$22,894.00",34.1%,"$1,372.00",75.9%,"$23,948.00","$48,531.20",36,"177,000",36,2018,0,0
128,Avnet,"$22,872.10",-12.8%,$525.3,3.7%,"$9,699.60","$5,008.90",-20,"15,700",-20,2018,0,0
129,Eli Lilly,"$22,871.30",7.8%,$-204.1,-107.5%,"$44,981.00","$84,542.20",3,"40,655",3,2018,0,0
130,Amgen,"$22,849.00",-0.6%,"$1,979.00",-74.4%,"$79,954.00","$122,841.50",-7,"20,800",-7,2018,0,0
131,McDonald's,"$22,820.40",-7.3%,"$5,192.30",10.8%,"$33,803.70","$124,243.60",-19,"235,000",-19,2018,0,0
132,Starbucks,"$22,386.80",5%,"$2,884.70",2.4%,"$14,365.60","$81,370.20",-1,"277,000",-1,2018,0,0
133,Qualcomm,"$22,291.00",-5.4%,"$2,466.00",-56.8%,"$65,486.00","$82,026.90",-14,"33,800",-14,2018,0,0
134,Dollar Tree,"$22,245.50",7.4%,"$1,714.30",91.3%,"$16,332.80","$22,523.20",2,"116,200",2,2018,0,0
135,PBF Energy,"$21,786.60",36.8%,$415.5,143.3%,"$8,118.00","$3,751.80",37,"3,165",37,2018,0,0
136,Icahn Enterprises,"$21,744.00",33%,"$2,430.00",-,"$31,801.00","$9,900.80",32,"89,034",32,2018,0,0
137,Aflac,"$21,667.00",-4%,"$4,604.00",73.1%,"$137,217.00","$34,038.10",-11,"11,318",-11,2018,0,0
138,AutoNation,"$21,534.60",-0.3%,$434.6,1%,"$10,271.50","$4,295.60",-9,"26,000",-9,2018,0,0
139,Penske Automotive Group,"$21,389.00",6.2%,$613.3,78.9%,"$10,540.60","$3,817.20",3,"26,000",3,2018,0,0
140,Whirlpool,"$21,253.00",2.6%,$350,-60.6%,"$20,038.00","$10,823.70",-3,"92,000",-3,2018,0,0
141,Union Pacific,"$21,240.00",6.5%,"$10,712.00",153.1%,"$57,806.00","$104,261.10",2,"41,992",2,2018,0,0
142,Southwest Airlines,"$21,171.00",3.7%,"$3,488.00",55.4%,"$25,110.00","$33,677.80",-4,"56,110",-4,2018,0,0
143,ManpowerGroup,"$21,034.30",7%,$545.4,22.9%,"$8,883.60","$7,614.20",3,"29,000",3,2018,0,0
144,Thermo Fisher Scientific,"$20,918.00",14.5%,"$2,225.00",10.1%,"$56,669.00","$82,952.30",10,"66,100",10,2018,0,0
145,Bristol-Myers Squibb,"$20,776.00",6.9%,"$1,007.00",-77.4%,"$33,551.00","$103,415.30",2,"23,700",2,2018,0,0
146,Halliburton,"$20,620.00",29.8%,$-463,-,"$25,085.00","$41,068.30",27,"55,000",27,2018,0,0
147,Tenet Healthcare,"$20,613.00",-2.2%,$-704,-,"$23,385.00","$2,451.90",-13,"111,980",-13,2018,0,0
148,Lear,"$20,467.00",10.3%,"$1,313.40",34.7%,"$11,945.90","$12,453.20",3,"165,000",3,2018,0,0
149,Cummins,"$20,428.00",16.7%,$999,-28.3%,"$18,075.00","$26,757.30",10,"58,600",10,2018,0,0
150,Micron Technology,"$20,322.00",63.9%,"$5,089.00",-,"$35,336.00","$60,470.10",76,"34,100",76,2018,0,0
151,Nucor,"$20,252.40",25%,"$1,318.70",65.6%,"$15,841.30","$19,432.20",18,"25,100",18,2018,0,0
152,Molina Healthcare,"$19,883.00",11.8%,$-512,-,"$8,471.00","$4,867.40",4,"20,000",4,2018,0,0
153,Fluor,"$19,521.00",2.5%,$191.4,-32%,"$9,327.70","$8,005.90",-4,"56,706",-4,2018,0,0
154,Altria Group,"$19,494.00",0.8%,"$10,222.00",-28.2%,"$43,202.00","$118,436.00",-6,"8,300",-6,2018,0,0
155,Paccar,"$19,456.40",14.2%,"$1,675.20",221.1%,"$23,440.20","$23,297.50",9,"25,000",9,2018,0,0
156,Hartford Financial Services,"$19,228.00",5.1%,"$-3,131.00",-449.4%,"$225,260.00","$18,391.70",-3,"16,400",-3,2018,0,0
157,Kohl's,"$19,095.00",2.2%,$859,54.5%,"$13,340.00","$11,021.20",-7,"85,000",-7,2018,1,0
158,Western Digital,"$19,093.00",46.9%,$397,64%,"$29,860.00","$27,455.90",59,"67,629",59,2018,0,0
159,Jabil,"$19,063.10",3.9%,$129.1,-49.2%,"$11,096.00","$5,034.50",-7,"170,000",-7,2018,0,0
160,Community Health Systems,"$18,477.00",-13.6%,"$-2,459.00",-,"$17,450.00",$453.9,-30,"86,000",-30,2018,0,0
161,Visa,"$18,358.00",21.7%,"$6,699.00",11.8%,"$67,977.00","$270,221.60",26,"15,000",26,2018,0,0
162,Danaher,"$18,329.70",-7.9%,"$2,492.10",-2.4%,"$46,648.60","$68,384.50",-18,"67,000",-18,2018,0,0
163,Kimberly-Clark,"$18,259.00",0.3%,"$2,278.00",5.2%,"$15,151.00","$38,552.70",-8,"42,000",-8,2018,0,0
164,AECOM,"$18,203.40",4.6%,$339.4,253.1%,"$14,397.00","$5,671.20",-3,"87,000",-3,2018,0,0
165,PNC Financial Services,"$18,035.00",9.8%,"$5,338.00",36.8%,"$380,768.00","$71,323.30",1,"51,632",1,2018,0,0
166,CenturyLink,"$17,656.00",1.1%,"$1,389.00",121.9%,"$75,611.00","$17,577.80",-6,"51,000",-6,2018,0,0
167,NextEra Energy,"$17,195.00",6.4%,"$5,378.00",84.7%,"$97,827.00","$76,894.80",3,"14,000",3,2018,0,0
168,PG&E Corp.,"$17,135.00",-3%,"$1,646.00",18.2%,"$68,012.00","$22,663.90",-11,"23,000",-11,2018,1,0
169,Synnex,"$17,045.70",21.2%,$301.2,28.2%,"$7,698.50","$4,702.10",29,"113,600",29,2018,0,0
170,WellCare Health Plans,"$17,007.20",19.5%,$373.7,54.4%,"$8,364.60","$8,622.20",25,"8,900",25,2018,0,0
171,Performance Food Group,"$16,761.80",4.1%,$96.3,41%,"$3,804.10","$3,104.40",-,"14,000",-,2018,0,0
172,Sears Holdings,"$16,702.00",-24.6%,$-383,-,"$7,262.00",$288.2,-45,"89,000",-45,2018,0,0
173,Synchrony Financial,"$16,695.00",10.4%,"$1,935.00",-14%,"$95,808.00","$25,490.10",12,"16,000",12,2018,1,0
174,CarMax,"$16,637.10",5.1%,$627,0.6%,"$16,279.40","$11,201.70",-,"24,344",-,2018,0,0
175,Bank of New York Mellon,"$16,621.00",6%,"$4,090.00",15.3%,"$371,758.00","$51,918.90",2,"52,500",2,2018,0,0
176,Freeport-McMoRan,"$16,416.00",4%,"$1,817.00",-,"$37,302.00","$25,438.60",-1,"25,200",-1,2018,0,0
177,Genuine Parts,"$16,308.80",6.3%,$616.8,-10.3%,"$12,412.40","$13,182.60",3,"48,000",3,2018,0,0
178,Emerson Electric,"$16,301.00",-19.6%,"$1,518.00",-7.2%,"$19,589.00","$43,359.40",-39,"76,500",-39,2018,0,0
179,DaVita,"$16,038.20",5.5%,$663.6,-24.6%,"$18,948.20","$12,001.10",2,"74,500",2,2018,0,0
180,Supervalu,"$16,009.00",-8.7%,$650,265.2%,"$3,580.00",$585,-22,"29,000",-22,2018,0,0
181,Gap,"$15,855.00",2.2%,$848,25.4%,"$7,989.00","$12,146.70",-3,"135,000",-3,2018,0,0
182,General Mills,"$15,619.80",-5.7%,"$1,657.50",-2.4%,"$21,812.60","$26,715.60",-17,"38,000",-17,2018,0,0
183,Nordstrom,"$15,478.00",4.9%,$437,23.4%,"$8,115.00","$8,122.70",5,"76,000",5,2018,0,0
184,Colgate-Palmolive,"$15,454.00",1.7%,"$2,024.00",-17.1%,"$12,676.00","$62,607.30",-2,"35,900",-2,2018,0,0
185,American Electric Power,"$15,424.90",-5.8%,"$1,912.60",213.1%,"$64,729.10","$33,766.40",-18,"17,666",-18,2018,0,0
186,XPO Logistics,"$15,380.80",5.2%,$340.2,393%,"$12,601.60","$12,210.40",5,"95,000",5,2018,0,0
187,Goodyear Tire & Rubber,"$15,377.00",1.4%,$346,-72.6%,"$17,064.00","$6,391.90",-3,"64,000",-3,2018,0,0
188,Omnicom Group,"$15,273.60",-0.9%,"$1,088.40",-5.2%,"$24,931.20","$16,733.50",-9,"77,300",-9,2018,0,0
189,CDW,"$15,191.50",8.7%,$523,23.2%,"$6,956.60","$10,716.90",10,"8,726",10,2018,0,0
190,Sherwin-Williams,"$14,983.80",26.4%,"$1,772.30",56.5%,"$19,958.40","$36,899.00",46,"52,695",46,2018,0,0
191,PPG Industries,"$14,967.00",-1.4%,"$1,591.00",81.4%,"$16,538.00","$27,824.40",-8,"47,200",-8,2018,0,0
192,Texas Instruments,"$14,961.00",11.9%,"$3,682.00",2.4%,"$17,642.00","$102,134.90",14,"29,714",14,2018,0,0
193,C.H. Robinson Worldwide,"$14,869.40",13.1%,$504.9,-1.7%,"$4,235.80","$13,152.60",19,"15,074",19,2018,0,0
194,WestRock,"$14,859.70",1%,$708.2,-,"$25,089.00","$16,371.50",-4,"44,800",-4,2018,0,0
195,Cognizant Technology Solutions,"$14,810.00",9.8%,"$1,504.00",-3.2%,"$15,221.00","$47,338.10",10,"260,000",10,2018,0,0
196,Newell Brands,"$14,742.20",11.1%,"$2,748.80",420.8%,"$33,135.50","$12,362.90",12,"49,000",12,2018,0,0
197,CBS,"$14,710.00",2.3%,$357,-71.7%,"$20,843.00","$19,668.00",-4,"14,715",-4,2018,0,0
198,Envision Healthcare,"$14,700.50",220.4%,$-228,-,"$16,572.60","$4,647.20",340,"57,750",-,2018,0,0
199,Monsanto,"$14,640.00",8.4%,"$2,260.00",69.2%,"$21,333.00","$51,443.70",5,"21,900",5,2018,0,0
200,Aramark,"$14,604.40",1.3%,$373.9,29.9%,"$11,006.20","$9,725.10",-8,"215,000",-8,2018,0,0
201,Applied Materials,"$14,537.00",34.3%,"$3,434.00",99.5%,"$19,419.00","$58,428.70",64,"18,400",64,2018,0,0
202,Waste Management,"$14,485.00",6.4%,"$1,949.00",64.9%,"$21,829.00","$36,371.70",-1,"42,300",-1,2018,0,0
203,DISH Network,"$14,391.40",-4.7%,"$2,098.70",44.8%,"$29,773.80","$17,681.50",-17,"17,000",-17,2018,0,0
204,Illinois Tool Works,"$14,314.00",5.3%,"$1,687.00",-17.1%,"$16,780.00","$53,141.60",-2,"50,000",-2,2018,0,0
205,Lincoln National,"$14,257.00",7%,"$2,079.00",74.4%,"$281,763.00","$15,945.90",2,"9,047",2,2018,0,0
206,HollyFrontier,"$14,251.30",35.3%,$805.4,-,"$10,692.20","$8,650.20",68,"3,522",68,2018,0,0
207,CBRE Group,"$14,209.60",8.7%,$691.5,20.9%,"$11,483.80","$16,042.40",7,"80,000",7,2018,0,0
208,Textron,"$14,198.00",3%,$307,-68.1%,"$15,340.00","$15,292.90",-8,"37,000",-8,2018,0,0
209,Ross Stores,"$14,134.70",9.9%,"$1,362.80",21.9%,"$5,722.10","$29,799.70",10,"82,700",10,2018,1,0
210,Principal Financial,"$14,093.20",13.7%,"$2,310.40",75.5%,"$253,941.20","$17,643.00",17,"15,378",17,2018,0,0
211,D.R. Horton,"$14,091.00",15.9%,"$1,038.40",17.2%,"$12,184.60","$16,480.40",21,"7,735",21,2018,0,0
212,Marsh & McLennan,"$14,024.00",6.2%,"$1,492.00",-15.6%,"$20,429.00","$41,924.40",-2,"64,000",-2,2018,0,0
213,Devon Energy,"$13,949.00",14.4%,$898,-,"$30,241.00","$16,724.70",18,"3,414",18,2018,0,0
214,AES,"$13,850.00",-3.1%,"$-1,161.00",-,"$33,112.00","$7,509.80",-20,"10,500",-20,2018,0,0
215,Ecolab,"$13,838.30",5.2%,"$1,508.40",22.7%,"$19,962.40","$39,523.90",-4,"48,400",-4,2018,0,0
216,Land O'Lakes,"$13,740.40",3.8%,$314.2,28.3%,"$9,508.90",-,-7,"10,000",-7,2018,0,0
217,Loews,"$13,735.00",4.8%,"$1,164.00",78%,"$79,586.00","$16,134.30",-4,"18,100",-4,2018,0,0
218,Kinder Morgan,"$13,705.00",5%,$183,-74.2%,"$79,055.00","$33,223.40",-3,"10,897",-3,2018,0,0
219,FirstEnergy,"$13,627.00",-3.7%,"$-1,724.00",-,"$42,257.00","$16,174.80",-23,"15,617",-23,2018,0,0
220,Occidental Petroleum,"$13,274.00",27.7%,"$1,311.00",-,"$42,026.00","$49,737.90",58,"11,000",58,2018,1,0
221,Viacom,"$13,263.00",6.2%,"$1,874.00",30.3%,"$23,698.00","$12,918.90",3,"11,200",3,2018,0,0
222,PayPal Holdings,"$13,094.00",20.8%,"$1,795.00",28.1%,"$40,774.00","$91,056.20",42,"18,700",42,2018,0,0
223,NGL Energy Partners,"$13,022.20",10.9%,$137,-,"$6,320.40","$1,331.90",14,"2,700",14,2018,0,0
224,Celgene,"$13,003.00",15.8%,"$2,940.00",47.1%,"$30,141.00","$67,101.60",30,"7,467",30,2018,0,0
225,Arconic,"$12,960.00",4.6%,$-74,-,"$18,718.00","$11,123.90",3,"41,500",3,2018,0,0
226,Kellogg,"$12,923.00",-0.7%,"$1,269.00",82.9%,"$16,350.00","$22,531.90",-10,"32,944",-10,2018,0,0
227,Las Vegas Sands,"$12,882.00",12.9%,"$2,806.00",68%,"$20,687.00","$56,720.60",22,"50,500",22,2018,0,0
228,Stanley Black & Decker,"$12,747.20",11.7%,"$1,226.00",27%,"$19,079.90","$23,609.90",22,"57,765",22,2018,0,0
229,Booking Holdings,"$12,681.10",18%,"$2,340.80",9.6%,"$25,451.30","$100,459.10",39,"22,900",39,2018,0,0
230,Lennar,"$12,646.40",15.5%,$810.5,-11.1%,"$18,745.00","$18,738.20",30,"9,111",30,2018,0,0
231,L Brands,"$12,632.40",0.5%,$983,-15.1%,"$8,149.00","$10,655.20",-11,"59,200",-11,2018,0,1
232,DTE Energy,"$12,607.00",18.6%,"$1,134.00",30.6%,"$33,767.00","$18,759.90",40,"10,200",40,2018,0,0
233,Dominion Energy,"$12,586.00",7.2%,"$2,999.00",41.3%,"$76,585.00","$45,344.10",5,"16,200",5,2018,0,0
234,Reinsurance Group of America,"$12,515.80",8.6%,"$1,822.20",159.8%,"$60,514.80","$9,930.10",12,"2,640",12,2018,1,0
235,J.C. Penney,"$12,506.00",-0.3%,$-116,-,"$8,413.00",$942.9,-14,"98,000",-14,2018,0,0
236,Mastercard,"$12,497.00",16%,"$3,915.00",-3.5%,"$21,329.00","$184,160.60",31,"13,400",31,2018,0,0
237,BlackRock,"$12,491.00",12%,"$4,970.00",56.7%,"$220,217.00","$87,064.50",18,"13,900",18,2018,0,0
238,Henry Schein,"$12,461.50",7.7%,$406.3,-19.8%,"$7,811.20","$10,329.80",5,"22,000",5,2018,0,0
239,Guardian Life Ins. Co. of America,"$12,454.50",-3.6%,$455.3,72.5%,"$75,038.20",-,-21,"9,283",-21,2018,1,0
240,Stryker,"$12,444.00",9.9%,"$1,020.00",-38.1%,"$22,197.00","$60,041.30",12,"33,000",12,2018,0,0
241,Jefferies Financial Group,"$12,407.90",14.1%,$171.7,32.1%,"$47,169.10","$8,097.60",21,"12,700",21,2018,0,0
242,VF,"$12,399.60",1.6%,$614.9,-42.8%,"$9,958.50","$29,403.30",-12,"69,000",-12,2018,0,0
243,ADP,"$12,379.80",6.1%,"$1,733.40",16.1%,"$37,180.00","$50,302.20",-3,"58,000",-3,2018,0,0
244,Edison International,"$12,320.00",3.8%,$565,-56.9%,"$52,580.00","$20,741.10",-9,"12,521",-9,2018,0,0
245,Biogen,"$12,273.90",7.2%,"$2,539.10",-31.4%,"$23,652.60","$57,930.10",3,"7,300",3,2018,0,0
246,United States Steel,"$12,250.00",19.4%,$387,-,"$9,862.00","$6,199.90",33,"29,200",33,2018,0,0
247,Core-Mark Holding,"$12,225.00",6.2%,$33.5,-38.2%,"$1,782.50",$981.2,-,"8,413",-,2018,0,0
248,Bed Bath & Beyond,"$12,215.80",0.9%,$685.1,-18.6%,"$6,846.00","$2,989.20",-15,"65,000",-15,2018,0,0
249,Oneok,"$12,173.90",36.5%,$387.8,10.2%,"$16,845.90","$23,373.30",63,"2,470",63,2018,0,0
250,BB&T Corp.,"$12,156.00",5.4%,"$2,394.00",-1.3%,"$221,642.00","$40,453.80",-5,"36,484",-5,2018,0,0
251,Becton Dickinson,"$12,093.00",-3.1%,"$1,100.00",12.7%,"$37,734.00","$57,694.70",-26,"41,933",-26,2018,0,0
252,Ameriprise Financial,"$12,075.00",2.9%,"$1,480.00",12.6%,"$147,470.00","$21,612.90",-13,"13,312",-13,2018,0,0
253,Farmers Insurance Exchange,"$12,071.80",-3.5%,$-65.4,-,"$16,164.80",-,-31,"13,015",-31,2018,0,0
254,First Data,"$12,052.00",4%,"$1,465.00",248.8%,"$48,269.00","$14,865.40",-12,"22,000",-12,2018,0,0
255,Consolidated Edison,"$12,033.00",-0.3%,"$1,525.00",22.5%,"$48,111.00","$24,192.30",-21,"15,591",-21,2018,0,0
256,Parker-Hannifin,"$12,029.30",5.9%,$983.4,21.9%,"$15,489.90","$22,755.30",-5,"56,690",-5,2018,0,0
257,Anadarko Petroleum,"$11,908.00",51.3%,$-456,-,"$42,086.00","$31,131.00",87,"4,400",87,2018,0,0
258,Estee Lauder,"$11,824.00",5%,"$1,249.00",12.1%,"$11,568.00","$55,063.60",-5,"46,000",-5,2018,0,0
259,State Street Corp.,"$11,774.00",10.7%,"$2,177.00",1.6%,"$238,425.00","$36,688.20",12,"36,643",12,2018,0,0
260,Tesla,"$11,758.80",68%,"$-1,961.40",-,"$28,655.40","$44,954.70",123,"37,543",123,2018,0,1
261,Netflix,"$11,692.70",32.4%,$558.9,199.4%,"$19,012.70","$128,166.70",53,"5,100",53,2018,0,1
262,Alcoa,"$11,652.00",25%,$217,-,"$17,447.00","$8,371.50",38,"14,600",38,2018,0,0
263,Discover Financial Services,"$11,545.00",10%,"$2,099.00",-12.3%,"$100,087.00","$25,430.90",14,"16,500",14,2018,0,0
264,Praxair,"$11,437.00",8.6%,"$1,247.00",-16.9%,"$20,436.00","$41,433.80",11,"26,461",11,2018,0,0
265,CSX,"$11,408.00",3.1%,"$5,471.00",219.2%,"$35,739.00","$49,427.90",-8,"24,006",-8,2018,0,0
266,Xcel Energy,"$11,404.00",2.7%,"$1,148.00",2.2%,"$43,030.00","$23,106.80",-10,"11,105",-10,2018,0,0
267,Unum Group,"$11,286.80",2.2%,$994.2,6.7%,"$64,013.10","$10,530.00",-9,"9,400",-9,2018,0,0
268,Universal Health Services,"$11,278.90",7.3%,$752.3,7.1%,"$10,761.80","$11,162.60",8,"72,300",8,2018,0,0
269,NRG Energy,"$11,275.00",-8.7%,"$-2,153.00",-,"$23,318.00","$9,698.30",-40,"5,940",-40,2018,0,0
270,EOG Resources,"$11,208.30",46.5%,"$2,582.60",-,"$29,833.10","$60,913.20",86,"2,664",86,2018,0,0
271,Sempra Energy,"$11,207.00",10.1%,$256,-81.3%,"$50,454.00","$29,351.40",9,"16,046",9,2018,0,0
272,"Toys ""R"" Us","$11,146.00",-3.4%,$-612,-,"$7,262.00",-,-28,"65,000",-28,2018,0,0
273,Group 1 Automotive,"$11,123.70",2.2%,$213.4,45.1%,"$4,871.10","$1,366.40",-12,"14,108",-12,2018,0,0
274,Entergy,"$11,074.50",2.1%,$411.6,-,"$46,707.10","$14,297.50",-11,"13,504",-11,2018,0,0
275,Molson Coors Brewing,"$11,002.80",125.2%,"$1,414.20",-28.4%,"$30,246.90","$16,238.00",247,"17,200",-,2018,0,0
276,L3 Technologies,"$11,002.00",3.8%,$677,-4.6%,"$12,729.00","$16,283.30",-3,"38,000",-3,2018,0,0
277,Ball,"$10,983.00",21.2%,$374,42.2%,"$17,169.00","$13,920.40",29,"18,300",29,2018,0,0
278,AutoZone,"$10,888.70",2.4%,"$1,280.90",3.2%,"$9,259.80","$17,450.30",-8,"70,035",-8,2018,0,0
279,Murphy USA,"$10,853.40",12.7%,$245.3,10.7%,"$2,331.00","$2,440.30",12,"6,900",12,2018,0,0
280,MGM Resorts International,"$10,773.90",13.9%,"$1,960.30",78%,"$29,159.20","$19,844.30",17,"68,500",17,2018,0,0
281,Office Depot,"$10,752.00",-20.9%,$181,-65.8%,"$6,323.00","$1,195.10",-78,"45,000",-78,2018,0,0
282,Huntsman,"$10,592.00",9.7%,$636,95.1%,"$10,244.00","$7,090.40",7,"10,000",7,2018,0,0
283,Baxter International,"$10,561.00",3.9%,$717,-85.6%,"$17,111.00","$34,979.00",-2,"47,000",-2,2018,0,0
284,Norfolk Southern,"$10,551.00",6.7%,"$5,404.00",224%,"$35,711.00","$41,226.20",-,"27,110",-,2018,0,0
285,salesforce.com,"$10,480.00",24.9%,$127.5,-29%,"$21,009.80","$85,073.50",41,"29,000",41,2018,0,1
286,Laboratory Corp. of America,"$10,441.40",8.3%,"$1,268.20",73.2%,"$16,568.00","$16,482.30",4,"60,000",4,2018,0,0
287,W.W. Grainger,"$10,424.90",2.8%,$585.7,-3.3%,"$5,804.30","$15,823.20",-5,"25,050",-5,2018,0,0
288,Qurate Retail,"$10,404.00",-2.3%,"$2,441.00",97.7%,"$24,122.00","$12,587.00",-19,"28,255",-19,2018,0,0
289,Autoliv,"$10,382.60",3.1%,$427.1,-24.7%,"$8,549.90","$12,710.00",-6,"67,352",-6,2018,0,0
290,Live Nation Entertainment,"$10,337.40",23.7%,$-6,-304.5%,"$7,504.30","$8,772.20",40,"15,050",40,2018,0,0
291,Xerox,"$10,265.00",-40.1%,$195,-,"$15,946.00","$7,329.50",-129,"36,100",-129,2018,0,0
292,Leidos Holdings,"$10,170.00",44.4%,$366,50%,"$8,990.00","$9,918.20",89,"31,000",89,2018,0,0
293,Corning,"$10,116.00",7.7%,$-497,-113.5%,"$27,494.00","$23,676.60",5,"46,200",5,2018,0,0
294,Lithia Motors,"$10,086.50",16.2%,$245.2,24.4%,"$4,683.10","$2,515.10",24,"12,899",24,2018,0,0
295,Expedia Group,"$10,059.80",14.7%,$378,34.1%,"$18,515.60","$16,763.90",22,"22,615",22,2018,0,0
296,Republic Services,"$10,041.50",7%,"$1,278.40",108.7%,"$21,147.00","$21,832.20",3,"35,000",3,2018,0,0
297,Jacobs Engineering Group,"$10,022.80",-8.6%,$293.7,39.6%,"$7,380.90","$8,379.90",-38,"49,750",-38,2018,0,0
298,Sonic Automotive,"$9,867.20",1.4%,$93,-0.2%,"$3,818.50",$803.7,-11,"9,750",-11,2018,0,0
299,Ally Financial,"$9,866.00",0.3%,$929,-12.9%,"$167,148.00","$11,767.40",-13,"7,900",-13,2018,0,0
300,LKQ,"$9,848.00",8.4%,$533.7,15%,"$9,366.90","$11,750.10",4,"43,000",4,2018,0,0
301,BorgWarner,"$9,799.30",8%,$439.9,271.2%,"$9,787.60","$10,586.00",4,"29,000",4,2018,0,0
302,Fidelity National Financial,"$9,769.00",2.3%,$771,18.6%,"$9,151.00","$10,983.00",-9,"24,525",-9,2018,0,0
303,SunTrust Banks,"$9,741.00",6.3%,"$2,273.00",21%,"$205,962.00","$31,863.10",-,"23,785",-,2018,0,0
304,IQVIA Holdings,"$9,739.00",41.6%,"$1,309.00",1038.30%,"$22,742.00","$20,433.40",86,"55,000",86,2018,0,0
305,Reliance Steel & Aluminum,"$9,721.00",12.9%,$613.4,101.6%,"$7,751.00","$6,244.40",15,"14,900",15,2018,0,0
306,Nvidia,"$9,714.00",40.6%,"$3,047.00",82.9%,"$11,241.00","$140,112.00",81,"11,528",81,2018,0,1
307,Voya Financial,"$9,660.00",-10.4%,"$-2,992.00",-,"$222,532.00","$8,686.20",-41,"6,300",-41,2018,0,0
308,CenterPoint Energy,"$9,614.00",27.7%,"$1,792.00",314.8%,"$22,736.00","$11,822.30",54,"7,977",54,2018,0,0
309,eBay,"$9,567.00",6.5%,"$-1,016.00",-114%,"$25,981.00","$40,726.10",1,"14,100",1,2018,0,0
310,Eastman Chemical,"$9,549.00",6%,"$1,384.00",62.1%,"$15,999.00","$15,072.50",-1,"14,000",-1,2018,0,0
311,American Family Insurance Group,"$9,545.40",8.1%,$155.6,-52.2%,"$24,233.00",-,4,"11,307",4,2018,0,0
312,Steel Dynamics,"$9,538.80",22.7%,$812.7,112.7%,"$6,855.70","$10,443.80",35,"7,635",35,2018,0,1
313,Pacific Life,"$9,510.00",3.7%,"$1,365.00",65.7%,"$157,877.00",-,-11,"3,578",-11,2018,0,0
314,Chesapeake Energy,"$9,496.00",20.6%,$949,-,"$12,425.00","$2,745.90",29,"3,200",29,2018,0,0
315,Mohawk Industries,"$9,491.30",5.9%,$971.6,4.4%,"$12,094.90","$17,283.10",-4,"38,800",-4,2018,0,0
316,Quanta Services,"$9,466.50",23.7%,$315,58.8%,"$6,480.20","$5,281.10",39,"32,800",39,2018,0,0
317,Advance Auto Parts,"$9,373.80",-2%,$475.5,3.5%,"$8,482.30","$8,770.10",-25,"55,500",-25,2018,0,0
318,Owens & Minor,"$9,318.30",-4.2%,$72.8,-33.1%,"$3,376.30",$961.3,-30,"8,600",-30,2018,0,0
319,United Natural Foods,"$9,274.50",9.5%,$130.2,3.5%,"$2,886.60","$2,164.60",6,"9,700",6,2018,0,0
320,Tenneco,"$9,274.00",7.8%,$207,-41.9%,"$4,842.00","$2,821.90",2,"32,000",2,2018,0,0
321,Conagra Brands,"$9,234.80",-34.7%,$639.3,-,"$10,096.30","$14,776.40",-124,"12,600",-124,2018,0,0
322,GameStop,"$9,224.60",7.2%,$34.7,-90.2%,"$5,041.60","$1,278.50",-1,"39,500",-1,2018,0,0
323,Hormel Foods,"$9,167.50",-3.7%,$846.7,-4.9%,"$6,975.90","$18,173.60",-28,"20,200",-28,2018,0,0
324,Hilton Worldwide Holdings,"$9,140.00",-21.6%,"$1,259.00",261.8%,"$14,308.00","$24,957.20",-83,"163,000",-83,2018,0,0
325,Frontier Communications,"$9,128.00",2.6%,"$-1,804.00",-,"$24,884.00",$581.8,-12,"22,736",-12,2018,0,0
326,Fidelity National Information Services,"$9,123.00",-1.3%,"$1,319.00",132.2%,"$24,517.00","$31,892.60",-25,"53,000",-25,2018,0,0
327,Public Service Enterprise Group,"$9,084.00",0.3%,"$1,574.00",77.5%,"$42,716.00","$25,359.40",-21,"12,945",-21,2018,0,0
328,Boston Scientific,"$9,048.00",7.9%,$104,-70%,"$19,042.00","$37,687.80",-1,"29,000",-1,2018,0,0
329,O'Reilly Automotive,"$8,977.70",4.5%,"$1,133.80",9.3%,"$7,571.90","$20,606.80",-6,"60,365",-6,2018,0,0
330,Charles Schwab,"$8,960.00",17.2%,"$2,354.00",24.6%,"$243,274.00","$70,312.80",27,"17,600",27,2018,0,0
331,Global Partners,"$8,920.60",8.3%,$58.8,-,"$2,320.20",$521.8,3,"2,000",3,2018,0,0
