Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Revenue_cat,Filter_cat,Profit ($M)_cat,Assets ($M)_cat,Market Value ($M)_cat,Employees_cat,Revenue_cat_1,Revenue_cat_2,Revenue_cat_3,Filter_cat_0,Filter_cat_1,Filter_cat_2,Profit ($M)_cat_1,Profit ($M)_cat_2,Profit ($M)_cat_3,Profit ($M)_cat_4,Profit ($M)_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5
608,Ingles Markets,3795.0,0.4,54.2,-8.7,1687.0,874.0,6,18020,0,2017,1,0,2,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
609,Roper Technologies,3790.0,5.8,658.6,-5.4,14325.0,21036.0,23,14155,0,2017,1,0,5,5,5,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
611,Xylem,3771.0,3.2,260.0,-23.5,6474.0,9024.0,11,16000,0,2017,1,0,3,3,4,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
613,Leggett & Platt,3750.0,-4.7,385.8,18.7,2984.0,6692.0,-12,21300,0,2017,1,0,4,2,3,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
614,Dentsply Sirona,3745.0,40.0,429.9,71.1,11656.0,14341.0,185,15700,0,2017,1,0,4,4,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
615,CACI International,3744.0,13.0,142.8,13.2,3987.0,2861.0,58,19900,0,2017,1,0,2,2,2,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
616,Mead Johnson Nutrition,3743.0,-8.1,544.9,-16.6,4088.0,16340.0,-29,7600,0,2017,1,0,4,2,5,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
617,C.R. Bard,3714.0,8.7,531.4,292.5,5306.0,17973.0,44,16300,0,2017,1,0,4,3,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
618,Snap-on,3712.0,3.3,546.4,14.1,4723.0,9778.0,12,12100,0,2017,1,0,4,3,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
619,HealthSouth,3707.0,17.2,247.6,35.2,4682.0,3812.0,74,29298,0,2017,1,0,3,3,3,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
620,Nasdaq,3705.0,8.9,108.0,-74.8,14150.0,11539.0,43,4325,0,2017,1,0,2,4,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
622,CF Industries Holdings,3685.0,-14.5,-277.5,-139.7,15132.0,6844.0,-56,2950,0,2017,1,0,1,5,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
623,Carlisle,3675.0,3.7,250.1,-21.8,3966.0,6873.0,16,12800,0,2017,1,0,3,2,3,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
624,Equinix,3661.0,34.3,126.8,-32.5,12608.0,30703.0,162,5993,0,2017,1,0,2,4,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
625,LSC Communications,3654.0,0.0,106.0,0.0,1952.0,828.0,0,22000,0,2017,1,0,2,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
626,Colfax,3647.0,-8.1,128.1,-23.6,6386.0,4824.0,-30,16000,0,2017,1,0,2,3,3,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
627,Lennox International,3642.0,5.0,277.8,48.9,1760.0,7191.0,28,10600,0,2017,1,0,3,1,4,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
629,Silgan Holdings,3613.0,-4.0,153.4,-11.1,3149.0,3268.0,-12,9100,0,2017,1,0,2,2,2,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
630,American Eagle Outfitters,3610.0,2.5,212.4,-2.6,1783.0,2557.0,13,22650,0,2017,1,0,3,1,2,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
631,Moody's,3604.0,3.4,266.6,-71.7,5327.0,21402.0,21,10600,0,2017,1,0,3,3,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
632,Calumet Specialty Products Partners,3599.0,-14.6,-328.6,0.0,2725.0,291.0,-61,2000,0,2017,1,0,1,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
634,KB Home,3595.0,18.6,105.6,24.8,5132.0,1880.0,85,1790,0,2017,1,0,2,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
635,Vulcan Materials,3593.0,5.0,419.5,89.7,8472.0,15980.0,25,7533,0,2017,1,0,4,4,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
636,Platform Specialty Products,3586.0,41.0,-73.7,0.0,10054.0,3701.0,193,7750,0,2017,1,0,1,4,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
637,Vantiv,3579.0,13.3,213.2,44.1,7044.0,12634.0,57,3526,0,2017,1,0,3,3,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
638,Skechers U.S.A.,3577.0,13.2,243.5,5.0,2394.0,4346.0,57,6900,0,2017,1,0,3,1,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
639,Zebra Technologies,3574.0,-2.1,-137.0,0.0,4632.0,4825.0,-16,6500,0,2017,1,0,1,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
640,Hub Group,3573.0,1.3,74.8,5.4,1360.0,1584.0,2,2755,0,2017,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
641,HSN,3568.0,-3.3,118.7,-29.9,1305.0,1943.0,-20,6500,0,2017,1,0,2,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
642,Stericycle,3562.0,19.3,206.4,-22.7,6980.0,7066.0,93,25000,0,2017,1,0,3,3,4,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
643,National General Holdings,3550.0,41.4,172.2,21.1,7245.0,2531.0,195,6930,0,2017,1,0,3,4,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
644,Taylor Morrison Home,3550.0,19.3,52.6,-13.8,4221.0,2547.0,94,1800,0,2017,1,0,2,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
645,Urban Outfitters,3546.0,2.9,218.1,-2.8,1903.0,2763.0,12,17160,0,2017,1,0,3,1,2,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
646,Resolute Forest Products,3545.0,-2.7,-81.0,0.0,4277.0,489.0,-21,8300,0,2017,1,0,1,3,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
647,ScanSource,3540.0,10.0,63.6,-2.8,1491.0,991.0,38,2000,0,2017,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
648,Camping World Holdings,3527.0,7.3,191.7,7.4,1564.0,2610.0,0,7366,0,2017,1,0,3,1,2,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
649,Iron Mountain,3525.0,17.2,104.8,-14.9,9487.0,9407.0,80,24000,0,2017,1,0,2,4,4,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
650,Hubbell,3505.0,3.4,293.0,5.7,3525.0,6649.0,16,17400,0,2017,1,0,3,2,3,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
651,Pinnacle West Capital,3499.0,0.1,442.0,1.1,16004.0,9302.0,-1,6339,0,2017,1,0,4,5,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
652,Church & Dwight,3493.0,2.9,459.0,11.8,4354.0,12669.0,13,4500,0,2017,1,0,4,3,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
653,Noble Energy,3491.0,11.4,-998.0,0.0,21011.0,14954.0,50,2274,0,2017,1,0,1,5,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
654,Albemarle,3491.0,-4.4,643.7,92.2,8161.0,11700.0,-30,5000,0,2017,1,0,5,4,4,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
655,Cooper-Standard Holdings,3473.0,3.9,139.0,24.2,2492.0,1964.0,15,30000,0,2017,1,0,2,2,2,5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
656,KKR,3461.0,-55.6,309.3,-36.7,39003.0,8253.0,-309,1178,0,2017,1,0,3,5,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
658,Ventas,3444.0,-1.2,649.2,55.4,23167.0,23065.0,-7,493,0,2017,1,0,5,5,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
660,Analog Devices,3421.0,-0.4,861.7,23.6,7970.0,29919.0,-1,10000,0,2017,1,0,5,4,5,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
661,Citrix Systems,3418.0,4.4,536.1,67.9,6390.0,13038.0,15,9600,0,2017,1,0,4,3,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
662,Green Plains,3411.0,15.0,10.7,50.9,2507.0,957.0,80,1294,0,2017,1,0,1,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
663,Pitney Bowes,3407.0,-4.8,92.8,-77.3,5837.0,2442.0,-29,14200,0,2017,1,0,2,3,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
664,Scripps Networks Interactive,3401.0,12.7,673.6,11.0,6200.0,10165.0,58,3600,0,2017,1,0,5,3,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
665,Darling Ingredients,3398.0,0.0,102.3,30.3,4698.0,2391.0,-1,10000,0,2017,1,0,2,3,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
666,Wayfair,3380.0,50.2,-194.4,0.0,762.0,3480.0,240,5637,0,2017,1,0,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
667,Tailored Brands,3379.0,-3.4,25.0,0.0,2098.0,729.0,-19,19450,0,2017,1,0,1,1,1,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
668,Sabre,3373.0,13.0,242.6,-55.5,5725.0,5872.0,68,10000,0,2017,1,0,3,3,3,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
669,Global Payments,3371.0,21.5,201.8,-27.4,10664.0,12303.0,108,8760,0,2017,1,0,3,4,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
670,Atmos Energy,3350.0,-19.1,350.1,11.1,10011.0,8308.0,-91,4747,0,2017,1,0,4,4,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
671,TEGNA,3341.0,3.1,436.7,-5.0,8543.0,5503.0,10,10121,0,2017,1,0,4,4,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
672,Diebold Nixdorf,3341.0,20.7,-33.0,-144.8,5270.0,2316.0,106,25000,0,2017,1,0,1,3,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
673,PolyOne,3340.0,-1.1,165.2,14.2,2723.0,2787.0,-5,7000,0,2017,1,0,3,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
674,TD Ameritrade Holding,3334.0,2.5,842.0,3.6,28818.0,20511.0,6,6010,0,2017,1,0,5,5,5,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
675,Abercrombie & Fitch,3327.0,-5.5,4.0,-88.9,2296.0,811.0,-31,25500,0,2017,1,0,1,1,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
676,Greif,3324.0,-8.1,74.9,4.2,3153.0,2635.0,-48,12370,0,2017,1,0,2,2,2,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
677,Alliant Energy,3320.0,2.0,371.5,-1.8,13374.0,9019.0,2,3978,0,2017,1,0,4,4,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
678,American Water Works,3302.0,4.5,468.0,-1.7,18482.0,13822.0,18,6800,0,2017,1,0,4,5,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
679,Acuity Brands,3291.0,21.6,290.8,30.9,2948.0,8995.0,110,11800,0,2017,1,0,3,2,4,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
680,Skyworks Solutions,3289.0,0.9,995.2,24.7,3855.0,18118.0,-2,7300,0,2017,1,0,5,2,5,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
681,FMC,3282.0,-5.4,209.1,-57.2,6139.0,9313.0,-27,5900,0,2017,1,0,3,3,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
682,Amerco,3276.0,6.5,489.0,37.1,8151.0,7474.0,31,19140,0,2017,1,0,4,4,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
684,Brinker International,3258.0,8.5,200.7,2.1,1473.0,2149.0,47,58335,0,2017,1,0,3,1,2,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
685,Buckeye Partners,3248.0,-5.9,535.6,22.5,9421.0,9630.0,-29,1865,0,2017,1,0,4,4,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
687,Universal Forest Products,3241.0,12.2,101.2,25.5,1292.0,2006.0,64,9300,0,2017,1,0,2,1,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
688,American National Insurance,3228.0,7.0,181.0,-25.5,24533.0,3177.0,35,4597,0,2017,1,0,3,5,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
689,Mercury General,3228.0,7.3,73.0,-1.9,4789.0,3373.0,39,4200,0,2017,1,0,2,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
690,Regal Beloit,3225.0,-8.1,203.4,41.9,4359.0,3390.0,-45,23000,0,2017,1,0,3,3,2,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
691,Varian Medical Systems,3218.0,3.8,402.3,-2.2,3816.0,8518.0,17,7800,0,2017,1,0,4,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
692,Aaron's,3208.0,0.9,139.3,2.6,2616.0,2119.0,-3,11500,0,2017,1,0,2,2,2,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
693,Visteon,3206.0,-41.1,75.0,-96.7,2373.0,3214.0,-223,10000,0,2017,1,0,2,1,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
694,Carter's,3199.0,6.1,258.1,8.5,1947.0,4360.0,32,18300,0,2017,1,0,3,1,3,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
695,Meritor,3199.0,-8.8,573.0,795.3,2494.0,1511.0,-48,8000,0,2017,1,0,4,2,1,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
696,Regal Entertainment Group,3197.0,2.2,170.4,11.1,2646.0,3546.0,9,25359,0,2017,1,0,3,2,3,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
697,Mednax,3183.0,14.5,324.9,-3.4,5339.0,6445.0,78,11015,0,2017,1,0,3,3,3,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
698,TransDigm Group,3171.0,17.2,586.4,31.1,10726.0,11634.0,90,9300,0,2017,1,0,4,4,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
699,Landstar System,3168.0,-4.6,137.4,-7.0,1097.0,3584.0,-27,1197,0,2017,1,0,2,1,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
701,Coca-Cola Bottling,3156.0,36.9,50.1,-15.0,2450.0,1923.0,188,12250,0,2017,1,0,2,1,2,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
702,Kar Auction Services,3150.0,19.3,222.4,3.6,6558.0,5971.0,106,15225,0,2017,1,0,3,3,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
703,Equifax,3145.0,18.1,488.8,13.9,6664.0,16509.0,98,9500,0,2017,1,0,4,3,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
704,Groupon,3143.0,-1.4,-194.6,0.0,1761.0,2209.0,-16,8323,0,2017,1,0,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
705,IAC/InterActiveCorp,3140.0,-2.8,-41.3,-134.6,4646.0,5731.0,-23,7450,0,2017,1,0,1,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
706,Weis Markets,3137.0,9.0,87.2,46.9,1431.0,1605.0,50,23000,0,2017,1,0,2,1,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
707,Allegheny Technologies,3135.0,-15.7,-640.9,0.0,5170.0,1955.0,-87,8500,0,2017,1,0,1,3,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
708,Pinnacle Foods,3128.0,17.8,211.1,-0.7,6740.0,6838.0,96,5490,0,2017,1,0,3,3,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
709,Tempur Sealy International,3127.0,-0.8,202.1,175.0,2703.0,2504.0,-10,7300,0,2017,1,0,3,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
710,SkyWest,3121.0,0.8,-161.6,-237.2,5137.0,1775.0,-1,16900,0,2017,1,0,1,3,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
711,International Flavors & Fragrances,3116.0,3.1,405.0,-3.4,4017.0,10466.0,9,6932,0,2017,1,0,4,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
712,BMC Stock Holdings,3094.0,96.2,30.9,0.0,1395.0,1508.0,0,9000,0,2017,1,0,1,1,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
713,Brown-Forman,3089.0,-1.4,1067.0,56.0,4183.0,17729.0,-11,4500,0,2017,1,0,5,2,5,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
714,Alexion Pharmaceuticals,3084.0,18.4,399.0,176.3,13253.0,27297.0,101,3121,0,2017,1,0,4,4,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
715,KapStone Paper & Packaging,3077.0,10.3,86.3,-18.9,3256.0,2233.0,59,6400,0,2017,1,0,2,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
716,Time,3076.0,-0.9,-48.0,0.0,4305.0,1919.0,-9,7450,0,2017,1,0,1,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
717,TriNet Group,3060.0,15.1,61.4,93.7,2095.0,1973.0,86,2600,0,2017,1,0,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
718,Steelcase,3060.0,0.0,170.3,97.8,1809.0,1965.0,-2,11900,0,2017,1,0,3,1,2,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
719,EchoStar,3057.0,-2.8,179.9,17.3,9009.0,5402.0,-19,4000,0,2017,1,0,3,4,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
721,Monster Beverage,3049.0,12.0,712.7,30.4,4154.0,26161.0,66,2278,0,2017,1,0,5,2,5,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
722,Gannett,3048.0,5.6,52.7,-63.9,2845.0,952.0,30,20900,0,2017,1,0,2,2,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
723,Fossil Group,3042.0,-5.8,78.9,-64.3,2187.0,842.0,-40,14500,0,2017,1,0,2,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
725,Meritage Homes,3042.0,17.9,149.5,16.2,2889.0,1484.0,97,1485,0,2017,1,0,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
726,MRC Global,3041.0,-32.8,-83.0,0.0,2164.0,1742.0,-185,3516,0,2017,1,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
727,H&R Block,3038.0,-1.3,374.3,-21.0,2858.0,4817.0,-15,48600,0,2017,1,0,4,2,3,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
728,Penn National Gaming,3034.0,6.9,109.3,0.0,4975.0,1675.0,36,18808,0,2017,1,0,2,3,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
729,Service Corp. International,3031.0,1.5,177.0,-24.3,12038.0,5817.0,5,19412,0,2017,1,0,3,4,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
730,Brink's,3021.0,-1.5,34.5,0.0,1995.0,2690.0,-16,60510,0,2017,1,0,1,1,2,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
731,Old Dominion Freight Line,2992.0,0.6,295.8,-2.9,2696.0,7057.0,9,17543,0,2017,1,0,3,2,4,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
732,Triple-S Management,2985.0,2.8,17.4,-66.5,2219.0,427.0,17,3580,0,2017,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
733,KLA-Tencor,2985.0,6.1,704.4,92.4,4962.0,14900.0,36,5580,0,2017,1,0,5,3,5,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
734,Edwards Lifesciences,2964.0,18.8,569.5,15.1,4510.0,19866.0,111,11100,0,2017,1,0,4,3,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
735,Rent-A-Center,2963.0,-9.6,-105.2,0.0,1603.0,472.0,-60,21504,0,2017,1,0,1,1,1,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
737,Paychex,2952.0,7.7,756.8,12.1,6441.0,21160.0,46,13500,0,2017,1,0,5,3,5,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
738,First Solar,2951.0,-17.5,-358.0,-165.5,6867.0,2820.0,-105,5400,0,2017,1,0,1,3,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
739,Insperity,2941.0,13.0,66.0,67.5,907.0,1862.0,77,2600,0,2017,1,0,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
740,Scotts Miracle-Gro,2937.0,-2.6,315.3,97.3,2809.0,5589.0,-16,5100,0,2017,1,0,3,2,3,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
741,B/E Aerospace,2933.0,7.4,311.1,8.9,3370.0,6505.0,44,10875,0,2017,1,0,3,2,3,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
